nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
176A869E,IRON6,NY,43.145,-77.5119,USGS01,HG,TW,WC,,,,,,,,,,,,,,,,,,,,,
CE5D3EBE,ISKN6,NY,42.2981,-75.9092,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
518F3122,ITAN6,NY,42.4486,-76.51,CANALS,TA,XR,VB,,,,,,,,,,,,,,,,,,,,,
CD043E46,ITCN6,NY,42.44,-76.2461,NOACRD,DY,DJ,XR,PC,PC,PC,US,UP,TV,MS,TV,MS,TV,MS,TV,MS,TV,MS,RW,DH,TA,PP,PC,
177802E0,IWDN6,NY,40.6172,-73.7583,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
CE7EE0E4,JONN6,NY,42.7667,-77.8392,CELRB1,HG,PC,VB,HG,,,,,,,,,,,,,,,,,,,,
17EFA00A,JWCN6,NY,42.2492,-74.3031,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD11D4BC,KASN6,NY,43.0689,-74.9886,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DD41459C,KFDN6,NY,42.6478,-73.8456,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD0D6130,KILN6,NY,40.5389,-74.1297,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
172024E8,KNVN6,NY,43.3011,-78.3106,USGS01,HG,TW,WC,WO,WT,VB,,,,,,,,,,,,,,,,,,
17ED460C,KTNN6,NY,41.2661,-73.6656,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
175F9458,LATN6,NY,40.905,-73.5933,USGS01,TW,WC,HM,,,,,,,,,,,,,,,,,,,,,
DDE8D0F4,LCPN6,NY,43.1744,-78.6889,USGS01,HG,TW,WV,HG,WC,WO,WT,,,,,,,,,,,,,,,,,
17B323C0,LCSN6,NY,42.89,-78.6953,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
FA40643E,LDQN6,NY,41.8678,-75.2139,NPUPDE,TW,WP,WC,WO,WT,HB,VB,,,,,,,,,,,,,,,,,
17F482D0,LDVN6,NY,41.8672,-75.2142,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD416370,LDWN6,NY,42.2525,-74.9011,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE717314,LDYN6,NY,42.0636,-77.1467,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
1713F3FE,LEXN6,NY,42.2369,-74.3406,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17EFE300,LGRN6,NY,43.8081,-73.4578,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
